"","State","State.Name","Year","Number of Deaths","Number of Drug Overdose Deaths","race","perc_in_pov","region"
"1","AK","Alaska",2016,4355,129,"white",6.83,"West"
"2","AK","Alaska",2016,4355,129,"black",NA,"West"
"3","AK","Alaska",2016,4355,129,"hispanic",17.78,"West"
"4","AK","Alaska",2016,4355,129,"native",27.43,"West"
"5","AK","Alaska",2016,4355,129,"multiple_races",10.49,"West"
"6","AK","Alaska",2016,4355,129,"total",10.56,"West"
"7","AL","Alabama",2016,51431,740,"white",12.05,"South"
"8","AL","Alabama",2016,51431,740,"black",27.9,"South"
"9","AL","Alabama",2016,51431,740,"hispanic",31.88,"South"
"10","AL","Alabama",2016,51431,740,"native",12.62,"South"
"11","AL","Alabama",2016,51431,740,"multiple_races",25.15,"South"
"12","AL","Alabama",2016,51431,740,"total",17.29,"South"
"13","AR","Arkansas",2016,31028,386,"white",13.77,"South"
"14","AR","Arkansas",2016,31028,386,"black",28.78,"South"
"15","AR","Arkansas",2016,31028,386,"hispanic",25.52,"South"
"16","AR","Arkansas",2016,31028,386,"native",26.01,"South"
"17","AR","Arkansas",2016,31028,386,"multiple_races",25.43,"South"
"18","AR","Arkansas",2016,31028,386,"total",17.23,"South"
"19","AZ","Arizona",2016,57215,1393,"white",10.96,"West"
"20","AZ","Arizona",2016,57215,1393,"black",21.07,"West"
"21","AZ","Arizona",2016,57215,1393,"hispanic",23.77,"West"
"22","AZ","Arizona",2016,57215,1393,"native",36,"West"
"23","AZ","Arizona",2016,57215,1393,"multiple_races",15.45,"West"
"24","AZ","Arizona",2016,57215,1393,"total",16.5,"West"
"25","CA","California",2016,263199,4755,"white",9.62,"West"
"26","CA","California",2016,263199,4755,"black",22.31,"West"
"27","CA","California",2016,263199,4755,"hispanic",19.04,"West"
"28","CA","California",2016,263199,4755,"native",22.62,"West"
"29","CA","California",2016,263199,4755,"multiple_races",13.2,"West"
"30","CA","California",2016,263199,4755,"total",14.38,"West"
"31","CO","Colorado",2016,38151,965,"white",8.1,"West"
"32","CO","Colorado",2016,38151,965,"black",18.95,"West"
"33","CO","Colorado",2016,38151,965,"hispanic",17.18,"West"
"34","CO","Colorado",2016,38151,965,"native",22.27,"West"
"35","CO","Colorado",2016,38151,965,"multiple_races",15.14,"West"
"36","CO","Colorado",2016,38151,965,"total",10.8,"West"
"37","CT","Connecticut",2016,30641,974,"white",5.77,"Northeast"
"38","CT","Connecticut",2016,30641,974,"black",18.17,"Northeast"
"39","CT","Connecticut",2016,30641,974,"hispanic",19.35,"Northeast"
"40","CT","Connecticut",2016,30641,974,"native",NA,"Northeast"
"41","CT","Connecticut",2016,30641,974,"multiple_races",13.69,"Northeast"
"42","CT","Connecticut",2016,30641,974,"total",9.47,"Northeast"
"43","DC","District of Columbia",2016,6055,300,"white",7.61,NA
"44","DC","District of Columbia",2016,6055,300,"black",28.07,NA
"45","DC","District of Columbia",2016,6055,300,"hispanic",21.65,NA
"46","DC","District of Columbia",2016,6055,300,"native",NA,NA
"47","DC","District of Columbia",2016,6055,300,"multiple_races",NA,NA
"48","DC","District of Columbia",2016,6055,300,"total",19.04,NA
"49","DE","Delaware",2016,8980,285,"white",7.96,"South"
"50","DE","Delaware",2016,8980,285,"black",15.11,"South"
"51","DE","Delaware",2016,8980,285,"hispanic",28.71,"South"
"52","DE","Delaware",2016,8980,285,"native",NA,"South"
"53","DE","Delaware",2016,8980,285,"multiple_races",17.46,"South"
"54","DE","Delaware",2016,8980,285,"total",11.68,"South"
"55","FL","Florida",2016,199964,4996,"white",10.57,"South"
